sleep_hours;smoker;blood_pressure;age;criminal;stress_level;drink_preference_friends;cofeOrTea
1;0;110;50;1;0;0,6;1
7;0;114;61;1;0;0;1
6;1;128;29;0;1;0,1;1
5;0;145;41;1;0;0,3;0
9;0;147;61;0;0;0,7;0
4;1;130;18;0;1;0,6;1
7;1;131;31;1;1;0,5;0
8;1;165;46;1;1;0,3;1
1;1;139;31;1;0;0,7;0
5;0;113;59;1;1;0,9;1
8;0;159;60;1;0;0,5;1
10;0;150;32;1;1;0;0
4;1;137;48;0;0;0,5;1
3;0;139;33;0;1;0,8;1
8;0;178;34;0;0;0,7;0
3;1;159;48;0;1;0,8;0
3;1;140;40;1;0;0,5;1
3;1;131;44;1;1;0,7;1
9;0;173;59;1;1;0,8;1
9;1;123;51;1;1;0,5;0
1;0;144;57;1;1;0;0
1;1;140;24;0;1;0,9;0
10;1;153;43;1;1;1;1
2;0;163;22;0;0;0;1
5;0;145;39;0;1;0,5;0
6;1;136;30;1;0;0,3;0
9;0;116;46;1;1;0,5;0
7;0;125;19;0;1;0,4;0
2;1;117;65;0;1;0,1;0
2;1;174;29;1;1;0,9;1
10;1;171;22;1;0;0,3;0
6;1;144;50;1;1;0,6;0
6;1;138;18;1;1;0,4;1
9;1;141;24;0;1;0,9;1
2;1;139;53;0;1;0,3;0
9;1;178;34;1;1;0,4;1
3;1;130;38;0;0;0,6;0
10;0;132;21;0;1;0,4;0
4;1;137;62;1;1;1;0
6;0;120;21;1;0;0,6;0
2;0;120;23;0;0;0,7;0
7;1;153;64;1;0;0,2;0
5;0;116;62;0;1;0,2;0
7;1;129;36;0;0;0,9;0
8;1;180;21;1;0;0,3;1
9;0;124;43;0;1;0,8;0
4;0;148;61;0;0;0,6;0
1;1;173;59;1;1;0,7;0
8;1;149;26;0;0;0,6;0
6;1;120;26;1;1;0,8;1
